Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Button ID (Image Order),Product,Image,Image Description
NewsNook Screens Compilation,newsnook-screens-compilation,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,66ac29c1613a99f515e8d2de,false,false,Fri Aug 02 2024 00:35:13 GMT+0000 (Coordinated Universal Time),Fri Aug 02 2024 00:35:13 GMT+0000 (Coordinated Universal Time),Fri Aug 02 2024 00:38:25 GMT+0000 (Coordinated Universal Time),00-newsnook-screens-compilation,newsnook,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/66ac296705b1ffb1f9642d08_newsnookappscreenshots%20(3).webp,"This shows a compilation of the various screens users can see within the web and mobile apps, including Login, Reading a Newsletter, Listening to a Newsletter, and their Newsletter inbox."
Notification Settings,notification-settings,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65e845b5356dd484a744b6d5,false,false,Wed Mar 06 2024 10:30:13 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 06:20:58 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 06:28:15 GMT+0000 (Coordinated Universal Time),08-notification-settings,owner-hub,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65e92a2a5bce4384f7d293a8_settings-user%20(3).webp,This page allows a property owner to manage their notification settings.
Owner Hub's PropertyCare+ Services List Page,owner-hubs-propertycare-services-list-page,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65e84395ecc37011cff8506b,false,false,Wed Mar 06 2024 10:21:09 GMT+0000 (Coordinated Universal Time),Sun Mar 10 2024 18:42:56 GMT+0000 (Coordinated Universal Time),Sun Mar 10 2024 18:43:03 GMT+0000 (Coordinated Universal Time),05-owner-hubs-propertycare-services-list-page,propertycareplus,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65edff2b30aa8a9b6038191c_ownerhub-pcp%20(2).webp,"This page advertises all of the al-la-carte premium service offerings that a property manager is offering to their property owners. Here, property owners can opt into any service offerings or learn more by viewing a service's details. "
Owner Hub's Service Details Page,owner-hubs-service-details-page,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65e843b63af3badb4877336a,false,false,Wed Mar 06 2024 10:21:42 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 06:02:05 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 06:05:15 GMT+0000 (Coordinated Universal Time),06-owner-hubs-service-details-page,propertycareplus,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65e80e800a081a3d2e9263d9_ownerhub-servicedetails.webp,"This page outlines the details of a single service offering within Property Meld's Owner Hub. Here, property owners can choose to opt into the service or chat with their manager regarding any questions they have about the service."
Practice Sessions Screen,practice-sessions-screen,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65e8dab7145239cbbe171b7e,false,false,Wed Mar 06 2024 21:05:59 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:54:13 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:55:08 GMT+0000 (Coordinated Universal Time),05-practice-sessions-screen,verbaly-web-app,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65e8dab38012c733c79ac2c6_pastsessions.webp,This page lists a user's previous recordings (aka practice sessions) for them to reference later. 
Practice Speech Screen,practice-speech-screen,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65e8da97895e20bf51113b55,false,false,Wed Mar 06 2024 21:05:27 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:34:15 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:52:53 GMT+0000 (Coordinated Universal Time),02-practice-speech-screen,verbaly-web-app,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65e8da9577a6b6e71f4f44ab_practicespeech.webp,"This page appears after users create an account, complete the onboarding journey, and log in. Here, they can record themselves giving a prepared speech or replying to a random prompt. To receive feedback from Vee, the AI speech coach, they submit the recording of their speech to our speech analysis engine. "
Speech Analysis API Schema,speech-analysis-api-schema,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65f95109bd7ae60744161e77,false,false,Tue Mar 19 2024 08:47:04 GMT+0000 (Coordinated Universal Time),Wed Jun 12 2024 18:48:18 GMT+0000 (Coordinated Universal Time),Wed Jun 12 2024 18:50:01 GMT+0000 (Coordinated Universal Time),01-speech-analysis-api-schema,speech-analysis-api,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65f950e17d121832571cf920_speechanalysisapi.webp,The following image portrays the data schema for our speech analysis API.
Speech Analysis Screen,speech-analysis-screen,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65e8dadd9dbb78b9baef9b7e,false,false,Wed Mar 06 2024 21:06:37 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:38:44 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:52:53 GMT+0000 (Coordinated Universal Time),03-speech-analysis-screen,verbaly-web-app,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65e8dad902924665bd865ed9_speechanalysis.webp,"This page appears after users have recorded and submitted a speech to be analyzed by Vee, the AI speech coach. Here, users can listen to their speech's recording, read its transcript, and review an analysis of how effectively they communicated. If they have recorded the same speech multiple times, they can view their previous recordings in the tabs on the page and compare them against each other. "
Speech Analysis Visualization,speech-analysis-visualization,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65f9514ddb5e5985898325d5,false,false,Tue Mar 19 2024 08:48:13 GMT+0000 (Coordinated Universal Time),Wed Jun 12 2024 18:49:55 GMT+0000 (Coordinated Universal Time),Wed Jun 12 2024 18:50:01 GMT+0000 (Coordinated Universal Time),02-speech-analysis-visualization,speech-analysis-api,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65e8dad902924665bd865ed9_speechanalysis.webp,The following image is a screenshot from our consumer application that visually displays most of the data that can be retrieved via our speech analysis API.
User Settings,user-settings,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65e8455a73b3812a8b640967,false,false,Wed Mar 06 2024 10:28:42 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 06:20:45 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 06:28:15 GMT+0000 (Coordinated Universal Time),07-user-settings,owner-hub,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65e92a146e2b1b42814197c9_settings-user%20(2).webp,This page allows a property owner to manage their account settings.
